dba_name,address,data_closed,data_opened,reason
Smoothie King,120 Bay St.,1/27/2010,1/27/2010,No hot water
AMC Theater Concession Stand,6346 E. PCH,2/9/2010,2/9/2010,Sewage
El Progresso Mkt,1430 E. 7th Street,2/10/2010,2/11/2010,Vermin
El Sol Bakery,1465 Magnolia,2/23/2010,2/23/2010,Vermin
Barry's Beach Shack,5374 E. 2nd Street,3/29/2010,3/30/2010,Sewage
The Rhythm Lounge,245 Pine Ave #29,3/31/2010,4/1/2010,Vermin (Cockroaches)
The Ice Bar,49 S. Pine,4/4/2010,4/3/2010,Vermin (Cockroaches)
Bubba Gumps,82 Aquarium Way,4/17/2010,4/17/2010,Sewage
Sophy's Thai & Cambodian Cuisine,32401 E. PCH,4/28/2010,4/29/2010,Vermin (Rodents)
Poppeye's,1700 W. Willow,5/7/2010,5/7/2010,Sewage
Panchito Mkt,2325 E. Anaheim,5/11/2010,5/12/2010,Vermin (Rodents)
Sunnin Lebanese Café,5110 E. 2nd St,5/26/2010,5/27/2010,No hot water
Hot Sticks,110 Bay Street,6/4/2010,6/5/2010,Sewage
Khoury's Restaurant,110 Marina Dr,6/9/2010,6/12/2010,Vermin (Cockroaches)
Pho Hanh,881 E. Anaheim,6/14/2010,6/15/2010,Vermin (Cockroaches)
Vintage Tea Leaf,969 E. Broadway,6/23/2010,6/25/2010,Vermin (Cockroaches)
Pho Hanh,881 E. Anaheim,7/7/2010,7/16/2010,Vermin (Cockroaches)
Seng Heng Supermarket Deli Meat Mkt,1734 E. Anaheim,7/6/2010,7/9/2010,Vermin (Cockroaches)
Juice It Up,261 E. Willow,7/14/2010,7/15/2010,No hot water
Inihaw Karaoke Restaurant,1950 W. Willow,7/14/2010,7/15/2010,Vermin (Cockroaches)
La Palapa Del Mar,4020 E. Olympic Plaza Dr,7/29/2010,8/3/2010,Vermin (Cockroaches)
Brandy's Burgers,4001 Orange Ave,8/3/2010,8/4/2010,Vermin (Cockroaches)
Tommy's Burgers,1112 E. Broadway,8/5/2010,8/6/2010,Vermin (Cockroaches)
Mariscus Isitla,1585 Santa Fe,8/12/2010,8/13/2010,Vermin (Cockroaches)
Golden Villa,1360 E. Anaheim,9/10/2010,9/16/2010,"No hot water, Vermin (Cockroaches)"
El Bukanos,306 E. Anaheim,9/30/2010,10/1/2010,Vermin (Cockroaches)
Super Taco Burger and Burrito,410 W. Willow,10/13/2010,10/19/2010,Vermin (Cockroaches)
Mamy's Place,1234 Long Beach Blvd,10/22/2010,10/26/2010,Vermin (Rodents & Cockroaches)
Santa Clarita Grill,6666 Long Beach Blvd,10/28/2010,10/29/2010,Vermin (Cockroaches)
Wok N Roll,4756 E PCH,10/28/2010,10/29/2010,Vermin (Cockroaches)
El Rey Bakery,2016 Pacific Ave,11/3/2010,11/5/2010,Vermin (Cockroaches)
Wienersnitzel,101 W. Willow,11/23/2010,11/23/2010,Sewage
Lily Bakery,1171 E. Anaheim St,12/14/2010,12/17/2010,Vermin (Cockroaches & Rodents)
Wienersnitzel,101 W. Willow,1/12/2011,1/13/2011,Sewage
El Bukanas,306 W. Anaheim,1/27/2011,1/28/2011,Vermin (Cockroaches)
Khory's Restaurant,110 N. Marina Dr,2/2/2011,2/4/2011,Vermin (Cockroaches)
