business_id,success
U7QBBm97nz5lfjXtZ-IDzw,yes
R6iCOOL2f1A4AU3VxMtC1A,yes
B0vfNwEdvdMCsG6MTWXFnA,no
3_Em74Ug0q-lpIFFnime5g,yes
ZwC2s5x7RJdUxTpp6eWrbQ,yes
R5xvvK6Xoiwfups5LwB10A,yes
VoJPtaYeSOxCtMOXKcT7nw,yes
GyNtewcxAtS0nCsIg-cLhw,no
DeE7Kn4paFDlOgNYluHA8w,yes
9tK2kRjCRV_gWpRd5ynqJQ,no
KEn5kZ0i-LYjBny_YT3f4w,no
T1YRJaMk5XB2w4WbVXA98Q,yes
LADHXjZOUs6fEYRbtj5w0Q,yes
_RK5fqjEtnwhUUcgfUcfaQ,yes
aZfZMMGkik-4hTzmHuQu7w,yes
F55Wpmlvjd8PfVM-caprlw,no
rM--jMIAwYWOZGhzy10nhg,no
r_n-dkNtYezgw_kvWVg4TA,no
IjBrpXlrgghU2bGQu7uePA,no
lrXfi0AH143Ci3rRtPZKUg,yes
WXC0aRjhmk82H9_fCa9uDA,yes
nPrAJJOj-jZno6LFIFpYkA,yes
XypdfDoQm3FNmEPWTZ1fOg,yes
8WMU2qQjSWBrxYLKX_H6mw,yes
bI7B2H2hKNqIWSvosIzMIA,yes
wJwsx98j7vmdSJ7H8vV7Og,yes
bHSPsVDcuccVxEb8Z_ecEg,yes
GZSiE55gnoze_nF-IrPi-Q,yes
pT2907DErhmKp0Yg9LjBgA,no
HyBZaXQzE4rTxjn7yRUBxQ,yes
4Dt5ndZTHpUgxQ2tKKYvJg,yes
wAIC_UHvs7oGAaBmFnNTVw,yes
OiVE43EGWOl8tMdA35o0SA,yes
K80xWiIBSixpag5SSMNTEg,yes
Yhn6SOF4erfIkJizJ1IVHg,yes
EqbcjJfp_6bx6rlhZVMsRw,yes
3ud8TaQCzxOa_lT5JYNuWQ,yes
jyXanw635elZCxzkKFjVcg,yes
jeCxHGnaSGDnMaeoL_jrgA,yes
LXmr10AjAiavHhOyOTLDGw,yes
rYw-wKEFyjWzUkzI7pIANw,yes
MfZwjrLCF43uTjXQpTz1rA,yes
hJv43e0c9pwqdpj6-iQPqA,yes
5h7g85jzTV2MXG6IU7n_zQ,yes
lpDMU6V-2x-sWCZpdhDkhQ,yes
yypxqkj_jyBYy1S7p0vclA,yes
s2GqdVchTQ3n2oVGZJi43g,yes
knf9IdqnG37s6-Ew6oH09Q,yes
1fsjS01m2wxQN9qXZ6-lPA,yes
IUcRMb8OXKFyt1zxcDL3uQ,yes
OhhDAZ6L0ylde0paQqZzAA,yes
YB66pILlQw8_fpLNUu1u4w,no
JImSc7nmLtwqh-flPk56nw,yes
4nu_837IyLumVbsN0LZRfQ,yes
4NEYxxlnlj8_epu5ssJfbQ,no
lJ4Hvfu2qRMX1loblQbueg,yes
GwEHTGQw-ky33fbfCbc-sg,yes
amkV7jzlIe71AzF--xfL9A,yes
rYg5s573JHE5axBWn9wyOQ,yes
S9mHZ1IdO1R7RA7TjAK_mA,yes
Hj2sZMc28Hp6Q31rWzy0RA,yes
LY-KuaJyxagqhPGxxxgpfQ,yes
HCqVKOqp8NEBJyz5frExdw,yes
YUp2F_Xxl7aJAO7y6nB1hQ,yes
3avnlw2aM-OLG7fXh6_kKQ,yes
IaBYlPf_fYV_F0kAvJmC6w,yes
V4lB86qYLCpw94lqoXlp7A,yes
WgoSXoUAwK-QbCsRQe9XSA,yes
ty-0g9HjwRYu8QPL5IT0fg,yes
S46-IlI6CJLWD2NZQl-lVQ,yes
aooFqYFIaEBxDH_vuFXvXA,yes
5-vjNsuSYPfJrQjgoDOnaA,yes
aPUTnY0CEjLDPDPWe5GzBQ,yes
JR0Fe7ByRQM0gOGpF65c6w,yes
eu4VF49_WGNLyBlZQS67uQ,no
j5lqRt8pr-k2F1v3ikai8g,yes
CSpFe7xCWzI4r_L9A6pg4w,yes
C7Hp1_XKkoHc0Sf7O0-9yw,yes
__GK0tVl6Dygt6BVn2TFrA,yes
-K3XUCeCqFIuKfd_U21PJw,yes
cSKll9iW4Nzshp351xPSFg,no
CSVJ1ClzGfQMRf1YyJdv1Q,no
3nTuQqn8tCXfEO-d6bZysQ,yes
mIJuDmEZ8gwWbj0nlPmSlg,yes
43cl30UlHO6_h5R0Y8Lyxw,yes
r9NFZB-iAuikATlutk8yIw,no
yPg-rHtaccWv4rKLwv6aSg,yes
ZQxEdsGUXN6R0dso8IfZwA,no
BPNjyKcw8gTKMQryIQZmkg,yes
uZVL9HHBEdLebVfK05j0Rg,yes
gUTzkdemS80s8OOeGJd7Tw,yes
3HBjhEPRS6E2K0JnMulMvg,yes
OIrkZxtrEls_dbexwGJCFA,yes
2nRqFTSGvUZ0gTVyYgCeAw,yes
tED7HGHXRup4a5YpEVMy5Q,yes
ql2u7WHsulxkxFjBa6X4pw,yes
DyS7r-4BWiI9gzbfbushpQ,no
jC8SaAAkNG4S9_SFpnMFHg,yes
-SN7n1bRuU1b9nCM9YhllA,no
vHPbc4dqdKbtCckk7XPrIg,yes
kGFzrpugiLGuXYDmBxKrQw,yes
VLXH7Yugl2o366_s_MkrHQ,yes
JKfFGaZBzxUkjQaba3diwA,no
Tqc6TE_jiJPBQl5Q7CyXVw,no
-AHiohiB5YU0qQSp5JBenQ,yes
kXviIA7cKlNrTgZPjTTvsw,yes
FUTP9ucQRj0FPazJn-ngzw,yes
DkLqC2aiYTKCbJIaU5i1zw,yes
MleyoznRE2GEU2wQclgb8Q,no
HG_JR-qi-Bct_WsmnMwPTw,yes
QYer97S4SAMGbeOqutL9oQ,yes
NC4BCa_-nYf-KVLfvy5fAw,no
8h9ZP4xs_p_V2mS7bbrILw,no
ngwLdqfG6IP9mPQC2cgJPw,yes
ei1sYAKb8t24Fve6eQPZyQ,yes
4K6PvzR_eMQpEZmJatFOHQ,yes
BHq-H41eqs070SoCTqhm3g,no
MDhVAevLNu5MRaB9iTYSpQ,yes
f3bzrHkJFDYGi92WrUjGUg,yes
HSOPreyb6ErqOpi2XiebsA,yes
BxGTJ_WH5mZAFYctreq8Ug,yes
BzQ86KrAr52v01YmPmOO7w,yes
HFyJmjHwRfmKDFt192V5mQ,no
Vy9rWMRVPp363jF12nYXng,yes
520Pn1yNvmJ0iZZlqK7cNA,no
RV9ZW8xbU1lLkaeJxhl-ug,yes
utoJ9yK7nVJ3Sk7YTLm-QQ,yes
r90AnsBHmPLMoUS_LY5giQ,yes
0qSNAg896hIb_1-cbGsVeQ,yes
e6DG2X8ES8lx8UkSfRwxRw,yes
Oy8IMas1KAKTU9l5desmzQ,yes
7gtEplHowXTG-vENXWnjiw,yes
gouGvZ0h_Z0uxp-S7HtwpA,no
MLqCPzXQKsyhvkvYx51wTQ,yes
0P8qOu9hm-f9YiJENF6Usw,no
Yr9CcDzICR8fkj5JgdxXsg,yes
eLrIBcSIADcM60yZWkXEJQ,yes
DGj3a1g5w0zmxriCwoN83w,no
VSAgMy3Xty7AYu54EoTg1Q,yes
